"","long","lat","order","hole","piece","id","group","n_accidents","All.usual.residents","Males","Females","children","adults","A Road","B Road","Motorway","Not Classified","Unclassified","Total_km","LSOA11CD","count_Sev1","count_Sev2","count_Sev3","road.rate","basicrate.q","Sev1_rate","Sev1_q"
"27",258916.12400012,187599.69399968,27,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"28",258951.40099957,187595.51900027,28,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"29",258964.96099986,187582.46000028,29,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"30",258966.69999984,187568.03499993,30,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"31",258969.94900037,187555.07499962,31,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"32",258976.51900035,187547.39100019,32,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"33",258982.60000023,187540.60000053,33,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"34",258982.60000023,187529.16700039,34,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"35",258924.99999978,187460.20000038,35,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"36",258647.19999978,187420.59999971,36,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"37",258629.0000004,187350.7,37,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"38",258537.88499962,187447.29100009,38,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"39",258524.49999957,187328.50000028,39,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"40",258503.30000022,187318.30000041,40,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"41",258487.20000023,187355.09999956,41,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"42",258480.50000051,187274.30000019,42,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"43",258350.29999981,187164.89999961,43,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"44",258270.90000003,187170.60000013,44,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"45",258167.50000056,187257.00000021,45,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"46",257944.89899974,187140.00000051,46,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"47",257917.40000001,187156.8000003,47,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"48",257844.29999956,187056.8,48,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"49",257709.3999999,187084.39999965,49,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"50",257666.49999985,187141.49999991,50,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"51",257526.20499966,187103.7010005,51,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"52",257417.79699972,187216.09400023,52,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"53",257365.09399984,187199.2030005,53,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"54",257376.90600029,187387.40600004,54,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"55",257317.60900002,187471.99999945,55,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"56",257145.15800022,187616.50000016,56,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"57",256964.50000051,187684.39100041,57,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"58",256870.2029999,187685.3119999,58,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"59",256792.29699999,187830.79700043,59,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"60",256758.09400008,187838.29699975,60,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"61",256769.0969999,187903.29899994,61,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"62",256852.50000036,187943.90599946,62,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"63",257019.59400049,187918.70299943,63,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"64",257039.84400053,187952.29699949,64,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"65",257099.90499977,187952.7039995,65,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"66",257163.89100008,188029.70300037,66,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"67",257180.29700017,188119.50000045,67,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"68",257273.49900001,188116.79699956,68,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"69",257369.29800025,188203.29699944,69,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"70",257475.83500024,188244.82599972,70,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"71",257440.89199944,188437.90599986,71,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"72",257374.40699946,188559.3119998,72,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"73",257381.93299943,188615.4590004,73,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"74",257459.79700036,188736.70300043,74,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"75",257514.4989997,188924.70099978,75,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"76",257491.29700054,188971.09400034,76,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"77",257522.57000036,189091.4659995,77,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"78",257685.45400056,189066.76600001,78,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"79",257823.80400047,189142.44000055,79,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"80",257897.99700029,189130.9999996,80,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"81",257910.40799945,189101.41100046,81,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"82",257962.39500003,189113.52100009,82,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"83",257967.42200034,189188.57499951,83,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"84",258040.42999957,189210.24600038,84,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"85",258124.68800011,189085.82000052,85,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"86",258213.22700055,189156.00300002,86,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"87",258271.61400027,189324.85499997,87,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"88",258264.44999982,189393.517,88,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"89",258703.00000024,189360.99999982,89,FALSE,"1","W01000736","W01000736.1",14,1715,822,893,307,1408,0,0.11,0,2.996,7.564,10.67,"W01000736",0,2,12,1.31208997188379,"1",0,"1"
"90",259185.39099975,190289.2019993,90,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"91",259555.8909999,190069.90600039,91,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"92",259425.4999993,189556.79800054,92,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"93",259430.59399942,189471.00000041,93,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"94",259434.60899994,189388.70199968,94,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"95",259661.49799974,189282.66500016,95,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"96",259754.684,189115.96100008,96,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"97",259793.70300008,189021.2029993,97,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"98",259780.0940002,188947.40600034,98,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
"99",259705.60999966,188832.70300051,99,FALSE,"1","W01000737","W01000737.1",23,1536,719,817,248,1288,0,1.471,0,2.174,5.446,9.091,"W01000737",0,1,22,2.529974700253,"1",0,"1"
